	Class	Description	Selected	Outside	11002L090	11002L070	11002M0PA	11002L022	11002L000	11002L011	11002L18-	11002L111	11002L100	11002L17-	11002L122	11002L070.1	11002M0MA	11002K271	1100212MQ	11002K2MN	11002K1MN	11002K272	11002K175	11002K214	11002P59-	11002P50-	11002P590	11002P589	11002P100	11002P392	11002J94-	11002P111	11002P12-	11002P03-	11002P192	11002J923	11002P04-	11002P23-	11002P05-	11002P02-	11002P01-	11002K172	11002P20-	11002K173	11002P22-	11002P09-	11002J901	11002P291	11002P00-	11002J881	11002P21-	11002J912	11002K174	11002J932	11002P242	11002Q2PA	11002Q30-	11002Q39-	11002J81-	11002K171	11002Q14-	11002Q233	11002Q212	11002Q2AA	11002Q13-	11002Q11-	11002Q12-	11002Q201	11002J80-	11002Q10-	11002Q242	11002Q091	11002Q222	11002Q241	11002Q04-	11002Q012	11002Q03-	11002Q17-	11002Q001	11002J873	11002J820	11002J80-.1	11002Q021	11002Q052	11002Q072	11002R19-	11002B791	11002R172	11002H8MJ	11002B73-	11002Q49-	11002R180	11002J072	11002J072.1	11002J85-	11002R101	11002B742	11002H83-	11002H84-	11002R110	11002B721	11002R12-	11002R21-	11002R13-	11002R20-	11002H4MJ	11002J84-	11002H43-	11002J83-	11002H41-	11002C491	11002H40-	11002R05-	11002R04-	11002B782	11002H44-	11002R29-	11002B824	11002A01-	11002R03-	11002A15-	11002S2MJ	11002B701	11002B752	11002A081	11002R23-	11002C45-	11002A00-	11002R22-	11002A13-	11002R02-	11002C41-	11002C21-	11002C42-	11002S31-	11002R24-	11002R01-	11002C22-	11002A11-	11002C44-	11002C43-	11002C23-	11002A081.1	11002A03-	11002S20-	11002R28-	11002A02-	11002B71-	11002B813	11002R00-	11002S04-	11002A10-	11002R099	11002C20-	11002S28-	11002S30-	11002A22-	11002S05-	11002C24-	11002A21-	11002C28-	11002C31-	11002C25-	11002A04-	11002A05-	11002S03-	11002A14-	11002A12-	11002S00-	11002S11-	11002R35-	11002C29-	11002S01-	11002R39-	11002E5MJ	11002E122	11002S10-	11002E19-	11002E14-	11002E15-	11002E131	11002S02-	11002D33-	11002R31-	11002R44-	11002E551	11002D30-	11002D34-	11002S12-	11002D32-	11002R34-	11002R30-	11002D31-	11002E50-	11002D38-	11002D35-	11002R32-	11002T39-	11002E53-	11002G552	11002R33-	11002T09-	11002S13-	11002D41-	11002G53-	11002T30-	11002R43-	11002T20-	11002S41-	11002D42-	11002G51-	11002F6MJ	11002S19-	11002F6NJ	11002E521	11002G59-	11002R401	11002T22-	11002R42-	11002T05-	11002R482	11002G522	11002T01-	11002S42-	11002S43-	11002T00-	11002R41-	11002T04-	11002T02-	11002G54-	11002T21-	11002T03-	11002V391	11002V391.1	11002F223	11002T24-	11002T180	11002T23-	11002R47-	11002F21-	11002V322	11002G780	11002F11-	11002F64-	11002T14-	11002F12-	11002V11-	11002F60-	11002T13-	11002T25-	11002F61-	11002F62-	11002T10-	11002G72-	11002V12-	11002T19-	11002T111	11002G74-	11002V14-	11002T412	11002V10-	11002V04-	11002F65-	11002U22-	11002G73-	11002U11-	11002V373	11002T42-	11002V05-	11002T12-	11002U21-	11002U20-	11002U10-	11002V13-	11002U33-	11002U30-	11002V312	11002V01-	11002V00-	11002V03-	11002G75-	11002V19-	11002V07-	11002V301	11002U31-	11002V099	11002V21-	11002V02-	11002U00-	11002U32-	11002U01-	11002U03-	11002V20-	11002U09-	11002U68-	11002V29-	11002V22-	11002U02-	11002U41-	11002U60-	11002U57-	11002U43-	11002V23-	11002U47-	11002U5MA	11002U40-	11002U69-	11002U5PA	All districts
Waste water - Sewer system	Waste water	Sewer system	Yes	8.09	9.01	0.0	0.0	6.98	88.24	48.68	2.88	52.47	118.69	0.33	91.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	3.8	51.77	0.49	6.81	93.66	0.21	7.82	64.24	38.37	115.42	0.0	38.1	107.16	83.8	32.08	60.77	90.91	0.0	52.93	0.26	46.44	0.26	30.79	0.0	75.3	0.0	49.62	45.04	0.0	76.78	9.11	2.12	10.69	0.0	103.82	1.83	110.45	78.54	119.01	59.49	129.88	64.37	182.57	264.66	161.99	131.72	42.01	2.72	22.48	0.49	115.44	154.74	135.75	7.03	172.57	0.64	41.31	0.0	41.24	38.88	6.13	42.16	12.9	16.43	0.26	1.28	0.26	45.04	1.15	15.2	85.16	243.67	63.28	150.62	19.21	220.72	170.16	165.99	142.14	259.38	178.85	4.44	16.05	171.96	53.4	212.31	0.74	172.07	112.63	73.8	12.14	128.96	0.0	23.46	66.8	172.72	55.93	28.3	238.59	7.2	0.0	137.32	116.34	118.76	64.09	86.23	57.99	138.88	88.83	166.97	200.38	126.05	116.93	83.76	89.34	84.28	89.0	151.61	1.78	50.97	30.79	2.78	25.16	81.72	70.65	29.98	179.82	71.8	1.06	16.44	0.6	171.3	68.53	108.64	167.51	124.17	0.0	52.76	156.2	51.96	71.8	92.18	40.79	47.46	200.22	104.59	141.4	0.97	161.15	0.89	1.83	48.29	69.07	15.43	258.67	57.14	65.37	148.71	148.75	181.66	114.59	94.62	175.29	236.89	111.73	174.7	69.14	64.54	130.77	255.68	0.43	72.39	83.01	0.72	114.88	18.78	105.18	25.06	54.76	158.89	133.14	79.2	92.71	165.08	96.7	106.34	122.48	0.0	15.63	0.77	149.96	6.01	130.83	96.26	33.26	86.07	0.53	45.64	111.0	136.22	92.61	159.59	101.97	78.16	60.57	90.55	74.43	109.47	0.0	0.0	35.81	28.74	26.81	57.65	4.42	176.97	71.28	5.05	140.02	99.29	116.49	137.0	145.17	76.32	89.3	21.67	211.65	102.63	94.03	40.46	54.93	0.38	137.93	28.97	105.06	69.5	247.62	37.69	94.36	58.39	28.87	81.42	0.43	77.18	114.12	70.65	152.77	250.01	140.65	165.26	115.83	134.94	61.15	91.13	75.71	62.13	3.44	10.09	0.6	72.39	47.27	3.31	30.34	60.89	129.01	54.3	131.85	107.28	82.93	4.42	2.46	0.0	59.49	138.11	32.15	19.43	8.13	36.32	79.38	7.81	0.47	85.57	0.68	0.21	22211.39
Water - Waste water	Water	Waste water	Yes	360.1	9.01	0.0	0.0	6.98	88.24	48.68	2.88	52.47	118.69	0.33	94.43	0.0	0.0	0.0	0.0	0.0	21.8	0.0	0.0	1.45	3.8	51.77	0.49	6.81	93.66	0.21	7.82	64.24	38.37	115.42	0.0	38.1	107.16	83.8	32.08	60.77	90.91	0.0	52.93	0.26	46.44	0.26	30.79	0.0	75.3	0.0	49.62	45.04	0.0	76.78	9.11	2.12	10.69	0.0	103.82	1.83	110.45	78.54	119.01	59.49	129.88	64.37	182.57	264.66	161.99	131.72	42.01	2.72	22.48	0.49	115.44	154.74	148.39	7.03	172.57	0.64	41.31	0.0	41.24	38.88	6.13	42.16	12.9	16.43	0.26	1.28	0.26	45.04	1.15	15.2	85.16	243.67	63.28	150.62	19.21	220.72	170.16	165.99	142.14	259.38	178.85	4.44	16.05	171.96	53.4	212.31	0.74	172.07	112.63	73.8	21.61	128.96	0.0	23.46	66.8	172.72	55.93	107.33	238.59	7.2	0.0	137.32	116.34	118.76	64.09	86.23	57.99	138.88	88.83	166.97	200.38	126.05	116.93	83.76	89.34	84.28	89.0	151.61	1.78	50.97	30.79	2.78	25.16	81.72	70.65	29.98	179.82	71.8	1.06	16.44	0.6	171.3	68.53	108.64	167.51	124.17	0.0	52.76	156.2	51.96	71.8	92.18	40.79	47.46	200.22	104.59	141.4	0.97	161.15	0.89	1.83	48.29	69.07	15.43	258.67	57.14	65.37	148.71	148.75	181.66	114.59	94.62	175.29	236.89	111.73	174.7	69.14	64.54	130.77	255.68	0.43	72.39	83.01	0.72	114.88	18.78	105.18	25.06	54.76	158.89	133.14	79.2	92.71	165.08	96.7	106.34	122.48	0.0	15.63	49.14	149.96	6.01	130.83	96.26	33.26	86.07	0.53	45.64	111.0	136.22	92.61	159.59	101.97	78.16	60.57	90.55	74.43	109.47	0.0	0.0	35.81	28.74	26.81	57.65	4.42	176.97	71.28	5.05	140.02	99.29	116.49	137.0	145.17	76.32	89.3	21.67	211.65	102.63	94.03	40.46	54.93	0.38	137.93	28.97	105.06	69.5	247.62	37.69	94.36	58.39	28.87	81.42	0.43	77.18	114.12	70.65	152.77	250.01	140.65	165.26	115.83	134.94	61.15	91.13	75.71	62.13	3.44	10.09	0.6	72.39	47.27	3.31	30.34	60.89	129.01	54.3	131.85	107.28	82.93	4.42	2.46	0.0	59.49	138.11	32.15	19.43	8.13	36.32	79.38	7.81	25.54	85.57	0.68	0.21	22410.559999999998
Surface water - Rivers heat extraction with heat pump	Surface water	Rivers heat extraction with heat pump	Yes	3406175.99	34909.56	27151.88	289250.67	0.0	7203.56	0.0	0.0	0.0	0.0	59290.85	0.0	3878.84	554.12	52641.41	2770.6	0.0	0.0	5541.2	57628.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34355.44	0.0	98633.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73143.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1108.24	0.0	0.0	41004.88	5541.2	554.12	0.0	0.0	554.12	3878.84	0.0	9420.04	1108.24	2216.48	8311.8	0.0	2216.48	10528.28	1108.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9420.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19394.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4987.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17177.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	885483.84
Surface water - Lakes heat extraction with heat pump	Surface water	Lakes heat extraction with heat pump	Yes	11017231.9	91524.07	225342.21	2449246.29	0.0	15134.46	0.0	0.0	0.0	3318.12	394635.17	13.09	11266.93	12720.73	637451.82	10847.54	2697.11	208993.46	68347.87	527845.11	8207.1	0.0	0.0	0.0	941.68	0.0	0.0	0.0	0.0	0.0	0.0	435.05	0.0	0.0	0.0	0.0	0.0	0.0	514304.08	0.0	868570.93	0.0	436.36	0.0	0.0	0.0	67374.37	36.58	0.0	0.0	320.33	0.0	0.0	1369.83	7191.6	0.0	418412.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	573.4	0.0	219.36	405.81	0.0	1880.41	5332.84	0.0	78102.79	14629.3	321.86	0.0	0.0	1658.72	321.86	59532.5	6759.08	27669.16	7648.54	9333.97	238.61	4796.25	23954.47	5827.7	0.0	0.0	0.0	0.0	348.33	0.0	0.0	0.0	839.79	160.53	231.22	23394.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84943.13	0.0	0.0	9457.5	156.1	0.0	0.0	2505.66	0.0	0.0	6349.81	0.0	0.0	4128.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12386.95	952.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.29	10702.35	0.0	0.0	0.0	952.84	0.0	79.64	0.0	281.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2148.51	0.0	355.41	21625.44	3178.53	0.0	0.0	23.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1620.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32780.61	18.16	8048.64	0.0	9.93	0.0	0.0	0.0	0.0	2665.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2359.57	82002.22	0.0	0.0	0.0	0.0	0.0	0.0	4923.58	2912.32	0.0	29.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17702.55	0.0	0.0	0.0	0.0	0.0	280.26	0.0	0.0	0.0	0.0	0.0	104.26	0.0	0.0	0.0	52510.1	0.0	0.0	7580.82	0.0	0.0	0.0	162.96	1099.56	0.0	0.0	6318.97	15758.95	2555.73	1173.78	0.0	1257.33	515.97	506.52	2519.15	184.18	288.06	1183.54	314.43	346.01	0.0	7231176.34
Surface water - Lakes cold extraction with heat pump	Surface water	Lakes cold extraction with heat pump	Yes	4063961.26	33760.78	83122.69	903461.23	0.0	5582.7	0.0	0.0	0.0	1223.96	145570.32	4.83	4156.07	4692.34	235138.86	4001.37	994.89	77092.08	25211.7	194707.91	3027.38	0.0	0.0	0.0	347.36	0.0	0.0	0.0	0.0	0.0	0.0	160.48	0.0	0.0	0.0	0.0	0.0	0.0	189712.98	0.0	320392.53	0.0	160.96	0.0	0.0	0.0	24852.6	13.49	0.0	0.0	118.16	0.0	0.0	505.29	2652.79	0.0	154341.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.51	0.0	80.92	149.69	0.0	693.63	1967.14	0.0	28810.03	5396.36	118.73	0.0	0.0	611.86	118.73	21959.94	2493.24	10206.41	2821.34	3443.05	88.02	1769.21	8836.16	2149.68	0.0	0.0	0.0	0.0	128.49	0.0	0.0	0.0	309.78	59.21	85.29	8629.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31333.24	0.0	0.0	3488.62	57.58	0.0	0.0	924.27	0.0	0.0	2342.28	0.0	0.0	1522.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4569.21	351.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.38	3947.81	0.0	0.0	0.0	351.48	0.0	29.38	0.0	103.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	792.53	0.0	131.1	7977.04	1172.47	0.0	0.0	8.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	597.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12091.89	6.7	2968.93	0.0	3.66	0.0	0.0	0.0	0.0	983.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	870.38	30248.42	0.0	0.0	0.0	0.0	0.0	0.0	1816.18	1074.28	0.0	10.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6530.0	0.0	0.0	0.0	0.0	0.0	103.38	0.0	0.0	0.0	0.0	0.0	38.46	0.0	0.0	0.0	19369.57	0.0	0.0	2796.36	0.0	0.0	0.0	60.11	405.6	0.0	0.0	2330.9	5813.06	942.74	432.97	0.0	463.8	190.33	186.84	929.25	67.94	106.26	436.58	115.99	127.63	0.0	2667386.98
Water - Surface water	Water	Surface water	Yes	18487369.12	160194.41	335616.77	3641958.16	0.0	27920.72	0.0	0.0	0.0	4542.08	599496.33	17.92	19301.84	17967.19	925232.08	17619.51	3692.01	286085.55	99100.77	780181.49	11234.48	0.0	0.0	0.0	1289.04	0.0	0.0	0.0	0.0	0.0	0.0	595.52	0.0	0.0	0.0	0.0	0.0	0.0	738372.5	0.0	1287596.83	0.0	597.32	0.0	0.0	0.0	92226.97	50.07	0.0	0.0	438.5	0.0	0.0	1875.12	9844.39	0.0	645897.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	784.92	0.0	300.28	555.51	0.0	3682.28	7299.98	0.0	147917.7	25566.85	994.71	0.0	0.0	2824.69	4319.43	81492.44	18672.36	38983.8	12686.36	21088.82	326.63	8781.94	43318.91	9085.62	0.0	0.0	0.0	0.0	476.83	0.0	0.0	0.0	1149.57	219.74	316.51	41444.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116276.37	0.0	0.0	12946.12	213.68	0.0	0.0	3429.94	0.0	0.0	8692.09	0.0	0.0	5651.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16956.17	1304.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.66	14650.16	0.0	0.0	0.0	1304.32	0.0	109.02	0.0	385.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2941.03	0.0	486.51	29602.48	4351.0	0.0	0.0	32.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2218.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44872.49	24.86	11017.57	0.0	13.59	0.0	0.0	0.0	0.0	3649.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3229.95	131644.84	0.0	0.0	0.0	0.0	0.0	0.0	6739.76	3986.59	0.0	39.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29219.63	0.0	0.0	0.0	0.0	0.0	383.64	0.0	0.0	0.0	0.0	0.0	142.72	0.0	0.0	0.0	89057.39	0.0	0.0	10377.18	0.0	0.0	0.0	223.07	1505.16	0.0	0.0	8649.87	21572.01	3498.47	1606.75	0.0	1721.13	706.3	693.37	3448.39	252.12	394.32	1620.12	430.42	473.65	0.0	10784047.080000002
